county_fips,county_name,state,month_date,period,year,month,quarter,Overdose_Rate_X100K,county_all_drugs_death_count,county_all_drugs_monthly_rate,county_fentanyl_death_count,county_fentanyl_monthly_rate,county_pct_fentanyl,county_population,lagged_neighbor_all_drugs_deaths,lagged_neighbor_fentanyl_deaths,lagged_neighbor_all_drugs_monthly_rate,lagged_neighbor_fentanyl_monthly_rate,lagged_neighbor_pct_fentanyl,county_all_drugs_death_count_2mo_rolling,county_all_drugs_death_high_2mo,county_all_drugs_death_low_2mo,county_all_drugs_death_avg_2mo,county_all_drugs_death_high_3mo,county_all_drugs_death_low_3mo,county_all_drugs_death_avg_3mo,lagged_neighbor_all_drugs_deaths_2mo_rolling,lagged_neighbor_all_drugs_high_2mo,lagged_neighbor_all_drugs_low_2mo,lagged_neighbor_all_drugs_avg_2mo,lagged_neighbor_all_drugs_high_3mo,lagged_neighbor_all_drugs_low_3mo,lagged_neighbor_all_drugs_avg_3mo,county_all_drugs_death_avg_6mo,county_fentanyl_death_avg_6mo,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM,fips,SS_total_number_of_recipients,SS_age_eligibility,SS_blind_and_disabled_eligibility,SS_under_18,SS_18_to_64,SS_65_or_older,SSI_recipients_also_receiving_OASDI,SS_amount_of_payments_(thousands of dollars),Fentanyl Seizures lbs,"Poverty Estimate, All Ages","Poverty Percent, All Ages",Median Household Income
6001,ALAMEDA,CA,1/1/2016,201601,2016,1,1,0.372810484,5,0.306517168,,,,1631230,,,,,,,,,,,,,,,,,,,,,,1650765,810640,840125,98194,50464,47730,174692,89105,85587,73039,37360,35679,142124,71124,71000,1341164,652282,688882,1304840,633711,671129,717345,358442,358903,520353,259285,261068,425687,208689,216998,216676,94613,122063,98194,50464,47730,98544,50293,48251,94319,48139,46180,93822,47335,46487,103170,51822,51348,138326,69164,69162,137597,68538,69059,127643,63637,64006,116787,57946,58841,113919,56835,57084,111283,54885,56398,107430,52354,55076,93055,44615,48440,76751,35490,41261,50879,23207,27672,34710,15280,19430,24867,10331,14536,29469,10305,19164,37.3,36.5,38.2,6001,50959,16371,34588,3302,23372,24285,16765,34080,175.43,184716,11.5,81462
6001,ALAMEDA,CA,2/1/2016,201602,2016,2,1,0.969307258,13,0.796944637,,,,1631230,47,,0.787564656,,,18,13,5,9,,,,,,,,,,,,,1650765,810640,840125,98194,50464,47730,174692,89105,85587,73039,37360,35679,142124,71124,71000,1341164,652282,688882,1304840,633711,671129,717345,358442,358903,520353,259285,261068,425687,208689,216998,216676,94613,122063,98194,50464,47730,98544,50293,48251,94319,48139,46180,93822,47335,46487,103170,51822,51348,138326,69164,69162,137597,68538,69059,127643,63637,64006,116787,57946,58841,113919,56835,57084,111283,54885,56398,107430,52354,55076,93055,44615,48440,76751,35490,41261,50879,23207,27672,34710,15280,19430,24867,10331,14536,29469,10305,19164,37.3,36.5,38.2,6001,50959,16371,34588,3302,23372,24285,16765,34080,175.43,184716,11.5,81462
6001,ALAMEDA,CA,3/1/2016,201603,2016,3,1,1.342117742,18,1.103461805,,,,1631230,54,,0.904861519,,,31,18,13,15.5,18,5,12,101,54,47,50.5,,,,,,1650765,810640,840125,98194,50464,47730,174692,89105,85587,73039,37360,35679,142124,71124,71000,1341164,652282,688882,1304840,633711,671129,717345,358442,358903,520353,259285,261068,425687,208689,216998,216676,94613,122063,98194,50464,47730,98544,50293,48251,94319,48139,46180,93822,47335,46487,103170,51822,51348,138326,69164,69162,137597,68538,69059,127643,63637,64006,116787,57946,58841,113919,56835,57084,111283,54885,56398,107430,52354,55076,93055,44615,48440,76751,35490,41261,50879,23207,27672,34710,15280,19430,24867,10331,14536,29469,10305,19164,37.3,36.5,38.2,6001,50959,16371,34588,3302,23372,24285,16765,34080,175.43,184716,11.5,81462
6001,ALAMEDA,CA,4/1/2016,201604,2016,4,2,1.118431452,15,0.919551504,,,,1631230,57,,0.955131604,,,33,18,15,16.5,18,13,15.33333333,111,57,54,55.5,57,47,52.66666667,,,1650765,810640,840125,98194,50464,47730,174692,89105,85587,73039,37360,35679,142124,71124,71000,1341164,652282,688882,1304840,633711,671129,717345,358442,358903,520353,259285,261068,425687,208689,216998,216676,94613,122063,98194,50464,47730,98544,50293,48251,94319,48139,46180,93822,47335,46487,103170,51822,51348,138326,69164,69162,137597,68538,69059,127643,63637,64006,116787,57946,58841,113919,56835,57084,111283,54885,56398,107430,52354,55076,93055,44615,48440,76751,35490,41261,50879,23207,27672,34710,15280,19430,24867,10331,14536,29469,10305,19164,37.3,36.5,38.2,6001,50959,16371,34588,3302,23372,24285,16765,34080,175.43,184716,11.5,81462
6001,ALAMEDA,CA,5/1/2016,201605,2016,5,2,1.267555646,17,1.042158371,,,,1631230,47,,0.787564656,,,32,17,15,16,18,15,16.66666667,104,57,47,52,57,47,52.66666667,,,1650765,810640,840125,98194,50464,47730,174692,89105,85587,73039,37360,35679,142124,71124,71000,1341164,652282,688882,1304840,633711,671129,717345,358442,358903,520353,259285,261068,425687,208689,216998,216676,94613,122063,98194,50464,47730,98544,50293,48251,94319,48139,46180,93822,47335,46487,103170,51822,51348,138326,69164,69162,137597,68538,69059,127643,63637,64006,116787,57946,58841,113919,56835,57084,111283,54885,56398,107430,52354,55076,93055,44615,48440,76751,35490,41261,50879,23207,27672,34710,15280,19430,24867,10331,14536,29469,10305,19164,37.3,36.5,38.2,6001,50959,16371,34588,3302,23372,24285,16765,34080,175.43,184716,11.5,81462
6001,ALAMEDA,CA,6/1/2016,201606,2016,6,2,0.969307258,13,0.796944637,,,,1631230,65,,1.089185162,,,30,17,13,15,17,13,15,112,65,47,56,65,47,56.33333333,13.5,,1650765,810640,840125,98194,50464,47730,174692,89105,85587,73039,37360,35679,142124,71124,71000,1341164,652282,688882,1304840,633711,671129,717345,358442,358903,520353,259285,261068,425687,208689,216998,216676,94613,122063,98194,50464,47730,98544,50293,48251,94319,48139,46180,93822,47335,46487,103170,51822,51348,138326,69164,69162,137597,68538,69059,127643,63637,64006,116787,57946,58841,113919,56835,57084,111283,54885,56398,107430,52354,55076,93055,44615,48440,76751,35490,41261,50879,23207,27672,34710,15280,19430,24867,10331,14536,29469,10305,19164,37.3,36.5,38.2,6001,50959,16371,34588,3302,23372,24285,16765,34080,175.43,184716,11.5,81462
6001,ALAMEDA,CA,7/1/2016,201607,2016,7,3,0.372810484,5,0.306517168,,,,1631230,55,,0.921618214,,,18,13,5,9,17,5,11.66666667,120,65,55,60,65,47,55.66666667,13.5,,1650765,810640,840125,98194,50464,47730,174692,89105,85587,73039,37360,35679,142124,71124,71000,1341164,652282,688882,1304840,633711,671129,717345,358442,358903,520353,259285,261068,425687,208689,216998,216676,94613,122063,98194,50464,47730,98544,50293,48251,94319,48139,46180,93822,47335,46487,103170,51822,51348,138326,69164,69162,137597,68538,69059,127643,63637,64006,116787,57946,58841,113919,56835,57084,111283,54885,56398,107430,52354,55076,93055,44615,48440,76751,35490,41261,50879,23207,27672,34710,15280,19430,24867,10331,14536,29469,10305,19164,37.3,36.5,38.2,6001,50959,16371,34588,3302,23372,24285,16765,34080,175.43,184716,11.5,81462
6001,ALAMEDA,CA,8/1/2016,201608,2016,8,3,0.820183065,11,0.67433777,,,,1631230,50,,0.83783474,,,16,11,5,8,13,5,9.666666667,105,55,50,52.5,65,50,56.66666667,13.16666667,,1650765,810640,840125,98194,50464,47730,174692,89105,85587,73039,37360,35679,142124,71124,71000,1341164,652282,688882,1304840,633711,671129,717345,358442,358903,520353,259285,261068,425687,208689,216998,216676,94613,122063,98194,50464,47730,98544,50293,48251,94319,48139,46180,93822,47335,46487,103170,51822,51348,138326,69164,69162,137597,68538,69059,127643,63637,64006,116787,57946,58841,113919,56835,57084,111283,54885,56398,107430,52354,55076,93055,44615,48440,76751,35490,41261,50879,23207,27672,34710,15280,19430,24867,10331,14536,29469,10305,19164,37.3,36.5,38.2,6001,50959,16371,34588,3302,23372,24285,16765,34080,175.43,184716,11.5,81462
6001,ALAMEDA,CA,9/1/2016,201609,2016,9,3,0.372810484,5,0.306517168,,,,1631230,54,,0.904861519,,,16,11,5,8,11,5,7,104,54,50,52,55,50,53,11,,1650765,810640,840125,98194,50464,47730,174692,89105,85587,73039,37360,35679,142124,71124,71000,1341164,652282,688882,1304840,633711,671129,717345,358442,358903,520353,259285,261068,425687,208689,216998,216676,94613,122063,98194,50464,47730,98544,50293,48251,94319,48139,46180,93822,47335,46487,103170,51822,51348,138326,69164,69162,137597,68538,69059,127643,63637,64006,116787,57946,58841,113919,56835,57084,111283,54885,56398,107430,52354,55076,93055,44615,48440,76751,35490,41261,50879,23207,27672,34710,15280,19430,24867,10331,14536,29469,10305,19164,37.3,36.5,38.2,6001,50959,16371,34588,3302,23372,24285,16765,34080,175.43,184716,11.5,81462
6001,ALAMEDA,CA,10/1/2016,201610,2016,10,4,1.043869355,14,0.85824807,,,,1631230,40,,0.670267792,,,19,14,5,9.5,14,5,10,94,54,40,47,54,40,48,10.83333333,,1650765,810640,840125,98194,50464,47730,174692,89105,85587,73039,37360,35679,142124,71124,71000,1341164,652282,688882,1304840,633711,671129,717345,358442,358903,520353,259285,261068,425687,208689,216998,216676,94613,122063,98194,50464,47730,98544,50293,48251,94319,48139,46180,93822,47335,46487,103170,51822,51348,138326,69164,69162,137597,68538,69059,127643,63637,64006,116787,57946,58841,113919,56835,57084,111283,54885,56398,107430,52354,55076,93055,44615,48440,76751,35490,41261,50879,23207,27672,34710,15280,19430,24867,10331,14536,29469,10305,19164,37.3,36.5,38.2,6001,50959,16371,34588,3302,23372,24285,16765,34080,175.43,184716,11.5,81462
6001,ALAMEDA,CA,11/1/2016,201611,2016,11,4,0.820183065,11,0.67433777,,,,1631230,52,,0.87134813,,,25,14,11,12.5,14,5,10,92,52,40,46,54,40,48.66666667,9.833333333,,1650765,810640,840125,98194,50464,47730,174692,89105,85587,73039,37360,35679,142124,71124,71000,1341164,652282,688882,1304840,633711,671129,717345,358442,358903,520353,259285,261068,425687,208689,216998,216676,94613,122063,98194,50464,47730,98544,50293,48251,94319,48139,46180,93822,47335,46487,103170,51822,51348,138326,69164,69162,137597,68538,69059,127643,63637,64006,116787,57946,58841,113919,56835,57084,111283,54885,56398,107430,52354,55076,93055,44615,48440,76751,35490,41261,50879,23207,27672,34710,15280,19430,24867,10331,14536,29469,10305,19164,37.3,36.5,38.2,6001,50959,16371,34588,3302,23372,24285,16765,34080,175.43,184716,11.5,81462
6001,ALAMEDA,CA,12/1/2016,201612,2016,12,4,2.013176614,27,1.655192707,,,,1631230,36,,0.603241013,,,38,27,11,19,27,11,17.33333333,88,52,36,44,52,36,42.66666667,12.16666667,,1650765,810640,840125,98194,50464,47730,174692,89105,85587,73039,37360,35679,142124,71124,71000,1341164,652282,688882,1304840,633711,671129,717345,358442,358903,520353,259285,261068,425687,208689,216998,216676,94613,122063,98194,50464,47730,98544,50293,48251,94319,48139,46180,93822,47335,46487,103170,51822,51348,138326,69164,69162,137597,68538,69059,127643,63637,64006,116787,57946,58841,113919,56835,57084,111283,54885,56398,107430,52354,55076,93055,44615,48440,76751,35490,41261,50879,23207,27672,34710,15280,19430,24867,10331,14536,29469,10305,19164,37.3,36.5,38.2,6001,50959,16371,34588,3302,23372,24285,16765,34080,175.43,184716,11.5,81462
