period,county_name,predicted_value,actual_value,difference,RMSE,MAE,R_squared
202211,ALAMEDA,2.229468332,1.557818431,0.671649901,0.493157732,0.429760443,-2.607783917
202212,ALAMEDA,2.264962226,2.077091241,0.187870985,0.493157732,0.429760443,-2.607783917
202211,ALPINE,0,0,0,0,0,1
202212,ALPINE,0,0,0,0,0,1
202211,AMADOR,2.643666777,0,2.643666777,1.869354705,1.321833389,0
202212,AMADOR,0,0,0,1.869354705,1.321833389,0
202211,BUTTE,8.259852964,6.44662197,1.813230994,1.307346596,1.087241914,0.447083011
202212,BUTTE,3.291535549,2.930282714,0.361252835,1.307346596,1.087241914,0.447083011
202211,CALAVERAS,12.82930046,12.66720713,0.162093335,1.234312388,0.950066215,0.962020572
202212,CALAVERAS,1.738039095,0,1.738039095,1.234312388,0.950066215,0.962020572
202211,COLUSA,28.90693995,29.67182957,-0.764889624,2.399230967,2.035287994,0.973847365
202212,COLUSA,3.305686363,0,3.305686363,2.399230967,2.035287994,0.973847365
202211,CONTRA COSTA,1.967510149,2.026007539,-0.05849739,0.182769572,0.155133055,0.673569772
202212,CONTRA COSTA,2.414030673,2.665799393,-0.25176872,0.182769572,0.155133055,0.673569772
202211,DEL NORTE,22.66039203,22.63980077,0.020591257,0.020413879,0.020413101,0
202212,DEL NORTE,22.66003572,22.63980077,0.020234946,0.020413879,0.020413101,0
202211,EL DORADO,3.120117767,3.118995933,0.001121834,0.001169599,0.001168662,0
202212,EL DORADO,3.120211422,3.118995933,0.001215489,0.001169599,0.001168662,0
202211,FRESNO,2.39559193,1.825638484,0.569953446,0.424325053,0.378860388,-0.176471321
202212,FRESNO,2.420287647,2.608054978,-0.187767331,0.424325053,0.378860388,-0.176471321
202211,GLENN,21.52323761,23.03616678,-1.512929174,1.090536119,0.90611699,0
202212,GLENN,22.73686197,23.03616678,-0.299304806,1.090536119,0.90611699,0
202211,HUMBOLDT,4.695044507,4.422860883,0.272183624,0.29222008,0.291575915,0
202212,HUMBOLDT,4.733829089,4.422860883,0.310968206,0.29222008,0.291575915,0
202211,IMPERIAL,3.703854978,3.726587713,-0.022732735,0.021472146,0.021432758,0
202212,IMPERIAL,3.706454931,3.726587713,-0.020132782,0.021472146,0.021432758,0
202211,INYO,6.942872998,0,6.942872998,4.909352578,3.471436499,0
202212,INYO,0,0,0,4.909352578,3.471436499,0
202211,KERN,5.537851724,5.975152111,-0.437300387,0.323664998,0.286263864,0
202212,KERN,5.83992477,5.975152111,-0.135227341,0.323664998,0.286263864,0
202211,KINGS,4.268901639,4.286510352,-0.017608713,0.017384005,0.017382534,0
202212,KINGS,4.269353997,4.286510352,-0.017156355,0.017384005,0.017382534,0
202211,LAKE,9.092210209,9.09322373,-0.001013521,0.000731036,0.000608743,0
202212,LAKE,9.093019765,9.09322373,-0.000203965,0.000731036,0.000608743,0
202211,LASSEN,1.802103742,0,1.802103742,1.277977156,0.96974198,0.983604968
202212,LASSEN,19.82429337,19.96167359,-0.137380218,1.277977156,0.96974198,0.983604968
202211,LOS ANGELES,2.77511102,2.60727789,0.16783313,0.144860879,0.142656222,-533.2127418
202212,LOS ANGELES,2.737292194,2.61981288,0.117479314,0.144860879,0.142656222,-533.2127418
202211,MADERA,4.089515681,4.096715254,-0.007199573,0.005684196,0.005387685,0
202212,MADERA,4.10029105,4.096715254,0.003575796,0.005684196,0.005387685,0
202211,MARIN,2.331159889,2.331143612,1.62775E-05,1.16357E-05,9.345E-06,0
202212,MARIN,2.331141199,2.331143612,-2.4125E-06,1.16357E-05,9.345E-06,0
202211,MARIPOSA,0,0,0,0,0,1
202212,MARIPOSA,0,0,0,0,0,1
202211,MENDOCINO,6.825486207,6.824913665,0.000572542,0.000732205,0.000717677,0
202212,MENDOCINO,6.825776476,6.824913665,0.000862811,0.000732205,0.000717677,0
202211,MERCED,2.318280023,2.302958842,0.015321181,0.011278407,0.009877929,0
202212,MERCED,2.307393518,2.302958842,0.004434676,0.011278407,0.009877929,0
202211,MODOC,0,0,0,0,0,1
202212,MODOC,0,0,0,0,0,1
