SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,DATE,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,06,001,California,Alameda County,1,4/1/2010,1510271,740573,769698,97652,50259,47393,167074,85220,81854,75895,38989,36906,150090,76299,73791,1208148,585882,622266,1169650,566105,603545,663138,331422,331716,455695,225462,230233,396119,192688,203431,167746,71656,96090,97652,50259,47393,94546,48145,46401,91070,46403,44667,100394,51445,48949,107049,54515,52534,113597,56185,57412,114607,56256,58351,115275,57062,58213,112216,55959,56257,114111,56168,57943,108506,53431,55075,94648,45580,49068,78854,37509,41345,52663,24568,28095,37774,17060,20714,29185,12617,16568,23391,9144,14247,24733,8267,16466,36.6,35.6,37.5
050,06,001,California,Alameda County,2,4/1/2010,1510283,740576,769707,97650,50257,47393,167074,85220,81854,75895,38989,36906,150089,76299,73790,1208163,585888,622275,1169664,566110,603554,663133,331420,331713,455690,225459,230231,396124,192688,203436,167761,71664,96097,97650,50257,47393,94545,48145,46400,91070,46402,44668,100395,51446,48949,107048,54515,52533,113595,56184,57411,114607,56257,58350,115273,57061,58212,112215,55957,56258,114112,56168,57944,108502,53429,55073,94648,45579,49069,78862,37512,41350,52668,24571,28097,37777,17061,20716,29188,12618,16570,23390,9144,14246,24738,8270,16468,36.6,35.6,37.5
050,06,001,California,Alameda County,3,7/1/2010,1512997,741756,771241,97656,50202,47454,167050,85265,81785,75671,38849,36822,149981,76093,73888,1211088,587262,623826,1172620,567440,605180,663119,331220,331899,455886,225562,230324,397760,193520,204240,168993,72265,96728,97656,50202,47454,94490,48154,46336,90979,46395,44584,99687,51062,48625,107546,54596,52950,113572,56243,57329,114815,56335,58480,114899,56849,58050,112600,56135,56465,113881,56109,57772,108869,53595,55274,95302,45953,49349,79708,37863,41845,53356,24905,28451,38072,17202,20870,29246,12649,16597,23338,9173,14165,24981,8336,16645,36.6,35.7,37.6
050,06,001,California,Alameda County,4,7/1/2011,1530893,750073,780820,97798,50128,47670,167948,85850,82098,74860,38320,36540,150723,76056,74667,1228442,595569,632873,1190287,575775,614512,667644,333043,334601,460301,227913,232388,404812,196942,207870,174451,74864,99587,97798,50128,47670,95096,48571,46525,91092,46525,44567,97338,49770,47568,110005,55360,54645,114831,57097,57734,117132,57509,59623,113890,56307,57583,114448,57000,57448,112952,55772,57180,110380,54263,56117,97839,47345,50494,83641,39562,44079,56096,26290,29806,39334,17703,21631,29811,12915,16896,23209,9242,13967,26001,8714,17287,36.8,35.9,37.8
050,06,001,California,Alameda County,5,7/1/2012,1553729,760689,793040,97591,49895,47696,169928,86939,82989,74090,37809,36281,151080,76099,74981,1249809,605435,644374,1212120,586046,626074,676464,336814,339650,469367,232046,237321,408515,198877,209638,183158,79024,104134,97591,49895,47696,96702,49452,47250,91299,46627,44672,96358,49059,47299,110739,55709,55030,117107,58200,58907,121010,59364,61646,114844,56586,58258,116406,57896,58510,111700,55297,56403,111539,54785,56754,100457,48680,51777,84819,40115,44704,61740,28937,32803,41011,18479,22532,30383,13151,17232,23274,9362,13912,26750,9095,17655,37,36.1,37.9
050,06,001,California,Alameda County,6,7/1/2013,1579508,773625,805883,97533,49888,47645,172624,88287,84337,73027,37063,35964,150473,75739,74734,1273498,617172,656326,1236324,598387,637937,687033,341934,345099,481328,238302,243026,413099,201336,211763,191424,83010,108414,97533,49888,47645,98198,50378,47820,92221,47079,45142,95448,48336,47112,110257,55296,54961,121512,60658,60854,125802,61848,63954,116602,57616,58986,117412,58180,59232,110735,55112,55623,112707,55237,57470,103052,50156,52896,86605,40831,45774,65834,30768,35066,43427,19748,23679,31306,13586,17720,23452,9534,13918,27405,9374,18031,37.1,36.1,38
050,06,001,California,Alameda County,7,7/1/2014,1607638,787566,820072,98139,50146,47993,173673,88643,85030,72997,37134,35863,148760,74667,74093,1299580,630205,669375,1262829,611643,651186,699112,348111,351001,495848,245780,250068,418136,204136,214000,200085,87060,113025,98139,50146,47993,98627,50571,48056,93539,47542,45997,94455,47705,46750,108809,54626,54183,128015,63975,64040,130283,64052,66231,119551,59394,60157,117999,58359,59640,110489,55157,55332,113903,55800,58103,104999,51166,53833,88745,42013,46732,69825,32557,37268,45793,20894,24899,32507,14229,18278,23855,9722,14133,28105,9658,18447,37.1,36.2,38
050,06,001,California,Alameda County,8,7/1/2015,1634326,801459,832867,98700,50477,48223,174666,89127,85539,73222,37379,35843,145338,72757,72581,1323873,642903,680970,1287738,624476,663262,710216,354285,355931,510247,253630,256617,423358,207078,216280,208795,91011,117784,98700,50477,48223,99077,50616,48461,94180,47992,46188,94060,47394,46666,105909,53261,52648,134254,67113,67141,134310,66458,67852,124103,61857,62246,117580,58202,59378,112463,56073,56390,113025,55541,57484,106765,52066,54699,91105,43398,47707,73705,34252,39453,48353,22003,26350,33663,14813,18850,24277,10003,14274,28797,9940,18857,37.2,36.3,38.1
050,06,001,California,Alameda County,9,7/1/2016,1650765,810640,840125,98194,50464,47730,174692,89105,85587,73039,37360,35679,142124,71124,71000,1341164,652282,688882,1304840,633711,671129,717345,358442,358903,520353,259285,261068,425687,208689,216998,216676,94613,122063,98194,50464,47730,98544,50293,48251,94319,48139,46180,93822,47335,46487,103170,51822,51348,138326,69164,69162,137597,68538,69059,127643,63637,64006,116787,57946,58841,113919,56835,57084,111283,54885,56398,107430,52354,55076,93055,44615,48440,76751,35490,41261,50879,23207,27672,34710,15280,19430,24867,10331,14536,29469,10305,19164,37.3,36.5,38.2
050,06,001,California,Alameda County,10,7/1/2017,1659824,815738,844086,97808,50109,47699,173584,88723,84861,73745,37608,36137,139353,69655,69698,1351653,658157,693496,1314687,639298,675389,720387,360571,359816,525988,262798,263190,425355,208879,216476,223991,97966,126025,97808,50109,47699,97224,49616,47608,95059,48597,46462,93447,47233,46214,100952,50540,50412,138897,69734,69163,139160,69701,69459,131058,65364,65694,116873,57999,58874,114528,57074,57454,108937,53928,55009,107420,52416,55004,94470,45461,49009,77193,35685,41508,55313,25191,30122,36194,15960,20234,25300,10559,14741,29991,10571,19420,37.5,36.7,38.3
