county,year,population,fips,state,pop_date
ALAMEDA,2015,1634326.0,06001,CA,2015-07-01
ALAMEDA,2016,1650765.0,06001,CA,2016-07-01
ALAMEDA,2017,1659824.0,06001,CA,2017-07-01
ALAMEDA,2018,1666596.0,06001,CA,2018-07-01
ALAMEDA,2019,1668412.0,06001,CA,2019-07-01
ALAMEDA,2020,1662323.0,06001,CA,2020-07-01
ALAMEDA,2021,1663371.0,06001,CA,2021-07-01
ALAMEDA,2022,1644248.0,06001,CA,2022-07-01
ALAMEDA,2023,1636194.0,06001,CA,2023-07-01
ALPINE,2015,1080.0,06003,CA,2015-07-01
ALPINE,2016,1053.0,06003,CA,2016-07-01
ALPINE,2017,1116.0,06003,CA,2017-07-01
ALPINE,2018,1081.0,06003,CA,2018-07-01
ALPINE,2019,1113.0,06003,CA,2019-07-01
ALPINE,2020,1119.0,06003,CA,2020-07-01
ALPINE,2021,1195.0,06003,CA,2021-07-01
ALPINE,2022,1191.0,06003,CA,2022-07-01
ALPINE,2023,1184.0,06003,CA,2023-07-01
AMADOR,2015,37039.0,06005,CA,2015-07-01
AMADOR,2016,37443.0,06005,CA,2016-07-01
AMADOR,2017,38549.0,06005,CA,2017-07-01
AMADOR,2018,39349.0,06005,CA,2018-07-01
AMADOR,2019,39693.0,06005,CA,2019-07-01
AMADOR,2020,40083.0,06005,CA,2020-07-01
AMADOR,2021,40067.0,06005,CA,2021-07-01
AMADOR,2022,40108.0,06005,CA,2022-07-01
AMADOR,2023,39837.0,06005,CA,2023-07-01
BUTTE,2015,224643.0,06007,CA,2015-07-01
BUTTE,2016,226222.0,06007,CA,2016-07-01
BUTTE,2017,228700.0,06007,CA,2017-07-01
BUTTE,2018,230330.0,06007,CA,2018-07-01
BUTTE,2019,218726.0,06007,CA,2019-07-01
BUTTE,2020,212744.0,06007,CA,2020-07-01
BUTTE,2021,207895.0,06007,CA,2021-07-01
BUTTE,2022,206582.0,06007,CA,2022-07-01
BUTTE,2023,205592.0,06007,CA,2023-07-01
CALAVERAS,2015,44972.0,06009,CA,2015-07-01
CALAVERAS,2016,45307.0,06009,CA,2016-07-01
CALAVERAS,2017,45658.0,06009,CA,2017-07-01
CALAVERAS,2018,45747.0,06009,CA,2018-07-01
CALAVERAS,2019,46119.0,06009,CA,2019-07-01
CALAVERAS,2020,46308.0,06009,CA,2020-07-01
CALAVERAS,2021,45250.0,06009,CA,2021-07-01
CALAVERAS,2022,45012.0,06009,CA,2022-07-01
CALAVERAS,2023,44890.0,06009,CA,2023-07-01
COLUSA,2015,21208.0,06011,CA,2015-07-01
COLUSA,2016,21476.0,06011,CA,2016-07-01
COLUSA,2017,21558.0,06011,CA,2017-07-01
COLUSA,2018,21389.0,06011,CA,2018-07-01
COLUSA,2019,21474.0,06011,CA,2019-07-01
COLUSA,2020,21558.0,06011,CA,2020-07-01
COLUSA,2021,21755.0,06011,CA,2021-07-01
COLUSA,2022,21819.0,06011,CA,2022-07-01
COLUSA,2023,21771.0,06011,CA,2023-07-01
