CountyName,CountyGEOID,NeighborName,NeighborGEOID,County,State
"Alameda County, CA",06001,Contra Costa County,06013,Alameda County,CA
"Alameda County, CA",06001,San Francisco County,06075,Alameda County,CA
"Alameda County, CA",06001,San Joaquin County,06077,Alameda County,CA
"Alameda County, CA",06001,San Mateo County,06081,Alameda County,CA
"Alameda County, CA",06001,Santa Clara County,06085,Alameda County,CA
"Alameda County, CA",06001,Stanislaus County,06099,Alameda County,CA
"Alpine County, CA",06003,Amador County,06005,Alpine County,CA
"Alpine County, CA",06003,Calaveras County,06009,Alpine County,CA
"Alpine County, CA",06003,El Dorado County,06017,Alpine County,CA
"Alpine County, CA",06003,Mono County,06051,Alpine County,CA
"Alpine County, CA",06003,Tuolumne County,06109,Alpine County,CA
"Amador County, CA",06005,Alpine County,06003,Amador County,CA
"Amador County, CA",06005,Calaveras County,06009,Amador County,CA
"Amador County, CA",06005,El Dorado County,06017,Amador County,CA
"Amador County, CA",06005,Sacramento County,06067,Amador County,CA
"Amador County, CA",06005,San Joaquin County,06077,Amador County,CA
"Butte County, CA",06007,Colusa County,06011,Butte County,CA
"Butte County, CA",06007,Glenn County,06021,Butte County,CA
"Butte County, CA",06007,Plumas County,06063,Butte County,CA
"Butte County, CA",06007,Sutter County,06101,Butte County,CA
"Butte County, CA",06007,Tehama County,06103,Butte County,CA
"Butte County, CA",06007,Yuba County,06115,Butte County,CA
"Calaveras County, CA",06009,Alpine County,06003,Calaveras County,CA
"Calaveras County, CA",06009,Amador County,06005,Calaveras County,CA
"Calaveras County, CA",06009,San Joaquin County,06077,Calaveras County,CA
"Calaveras County, CA",06009,Stanislaus County,06099,Calaveras County,CA
"Calaveras County, CA",06009,Tuolumne County,06109,Calaveras County,CA
"Colusa County, CA",06011,Butte County,06007,Colusa County,CA
"Colusa County, CA",06011,Glenn County,06021,Colusa County,CA
"Colusa County, CA",06011,Lake County,06033,Colusa County,CA
"Colusa County, CA",06011,Sutter County,06101,Colusa County,CA
"Colusa County, CA",06011,Yolo County,06113,Colusa County,CA
"Contra Costa County, CA",06013,Alameda County,06001,Contra Costa County,CA
"Contra Costa County, CA",06013,Marin County,06041,Contra Costa County,CA
"Contra Costa County, CA",06013,Sacramento County,06067,Contra Costa County,CA
"Contra Costa County, CA",06013,San Francisco County,06075,Contra Costa County,CA
"Contra Costa County, CA",06013,San Joaquin County,06077,Contra Costa County,CA
"Contra Costa County, CA",06013,Solano County,06095,Contra Costa County,CA
"Contra Costa County, CA",06013,Sonoma County,06097,Contra Costa County,CA
"Del Norte County, CA",06015,Humboldt County,06023,Del Norte County,CA
"Del Norte County, CA",06015,Siskiyou County,06093,Del Norte County,CA
"El Dorado County, CA",06017,Alpine County,06003,El Dorado County,CA
"El Dorado County, CA",06017,Amador County,06005,El Dorado County,CA
"El Dorado County, CA",06017,Placer County,06061,El Dorado County,CA
"El Dorado County, CA",06017,Sacramento County,06067,El Dorado County,CA
"Fresno County, CA",06019,Inyo County,06027,Fresno County,CA
"Fresno County, CA",06019,Kings County,06031,Fresno County,CA
"Fresno County, CA",06019,Madera County,06039,Fresno County,CA
"Fresno County, CA",06019,Merced County,06047,Fresno County,CA
"Fresno County, CA",06019,Mono County,06051,Fresno County,CA
"Fresno County, CA",06019,Monterey County,06053,Fresno County,CA
"Fresno County, CA",06019,San Benito County,06069,Fresno County,CA
"Fresno County, CA",06019,Tulare County,06107,Fresno County,CA
