County,Sex,Age Group,7/1/2023,7/1/2024,7/1/2025
Alameda County,Female,0,6888,6701,6526
Alameda County,Female,1-4,33125,31186,29245
Alameda County,Female,5-9,45657,44465,43751
Alameda County,Female,10-14,45895,45777,45730
Alameda County,Female,15-19,46629,45589,45757
Alameda County,Female,20-24,57707,59826,60680
Alameda County,Female,25-29,50857,51235,50542
Alameda County,Female,30-34,40132,44914,49626
Alameda County,Female,35-39,35161,30510,28951
Alameda County,Female,40-44,54790,53195,48238
Alameda County,Female,45-49,59601,57346,56759
Alameda County,Female,50-54,65318,64536,62666
Alameda County,Female,55-59,60113,59845,60940
Alameda County,Female,60-64,62162,61952,61378
Alameda County,Female,65-69,52326,54611,57019
Alameda County,Female,70-74,42409,43224,44072
Alameda County,Female,75-79,30893,33110,35246
Alameda County,Female,80-84,18596,19749,21002
Alameda County,Female,85-89,11640,11913,12475
Alameda County,Female,90-94,7037,7033,7109
Alameda County,Female,95-99,3470,3437,3527
Alameda County,Female,100+,478,671,785
Alameda County,Male,0,7250,7032,7081
Alameda County,Male,1-4,34753,32831,31159
Alameda County,Male,5-9,47712,47079,45886
Alameda County,Male,10-14,48215,47664,47746
Alameda County,Male,15-19,48772,48970,48098
Alameda County,Male,20-24,58422,59781,61109
Alameda County,Male,25-29,53968,52309,51888
Alameda County,Male,30-34,41071,47097,53079
Alameda County,Male,35-39,36720,31585,28412
Alameda County,Male,40-44,53405,51993,47846
Alameda County,Male,45-49,55931,54024,53485
Alameda County,Male,50-54,64036,62691,60545
Alameda County,Male,55-59,59206,59625,60297
Alameda County,Male,60-64,59622,59274,58842
Alameda County,Male,65-69,47621,50312,53066
Alameda County,Male,70-74,36414,37160,38339
Alameda County,Male,75-79,25535,27526,29340
Alameda County,Male,80-84,14659,15451,16569
Alameda County,Male,85-89,8150,8575,8893
Alameda County,Male,90-94,4088,4160,4226
Alameda County,Male,95-99,1380,1475,1490
Alameda County,Male,100+,232,241,335
Alpine County,Female,0,8,4,4
Alpine County,Female,1-4,17,20,20
Alpine County,Female,5-9,27,31,32
Alpine County,Female,10-14,10,10,10
Alpine County,Female,15-19,42,37,34
Alpine County,Female,20-24,43,45,39
Alpine County,Female,25-29,41,45,48
Alpine County,Female,30-34,19,21,30
Alpine County,Female,35-39,24,20,19
Alpine County,Female,40-44,30,31,29
Alpine County,Female,45-49,24,24,27
Alpine County,Female,50-54,25,26,24
Alpine County,Female,55-59,50,45,41
Alpine County,Female,60-64,51,46,49
Alpine County,Female,65-69,39,44,51
Alpine County,Female,70-74,47,42,39
Alpine County,Female,75-79,34,38,37
Alpine County,Female,80-84,15,21,22
Alpine County,Female,85-89,18,16,15
Alpine County,Female,90-94,5,3,4
Alpine County,Female,95-99, -   ,1,1
Alpine County,Female,100+, -   , -   , -   
Alpine County,Male,0,3,7,6
Alpine County,Male,1-4,27,30,25
Alpine County,Male,5-9,12,12,20
Alpine County,Male,10-14,25,20,19
Alpine County,Male,15-19,37,42,39
Alpine County,Male,20-24,32,34,36
Alpine County,Male,25-29,31,30,27
Alpine County,Male,30-34,28,28,31
Alpine County,Male,35-39,31,31,29
Alpine County,Male,40-44,29,25,25
Alpine County,Male,45-49,27,25,22
Alpine County,Male,50-54,31,33,26
Alpine County,Male,55-59,41,35,39
Alpine County,Male,60-64,61,57,49
Alpine County,Male,65-69,57,49,50
Alpine County,Male,70-74,49,59,59
Alpine County,Male,75-79,37,38,38
Alpine County,Male,80-84,19,20,25
Alpine County,Male,85-89,11,13,11
Alpine County,Male,90-94,10,6,10
Alpine County,Male,95-99, -   , -   , -   
Alpine County,Male,100+, -   , -   , -   
Amador County,Female,0,156,166,181
Amador County,Female,1-4,612,637,656
Amador County,Female,5-9,778,767,750
Amador County,Female,10-14,667,657,673
Amador County,Female,15-19,831,795,745
Amador County,Female,20-24,916,911,874
Amador County,Female,25-29,1061,1063,1076
Amador County,Female,30-34,1080,1165,1205
Amador County,Female,35-39,804,812,858
Amador County,Female,40-44,899,905,892
Amador County,Female,45-49,754,773,817
Amador County,Female,50-54,981,956,888
Amador County,Female,55-59,1062,1034,1040
Amador County,Female,60-64,1465,1439,1375
Amador County,Female,65-69,1494,1479,1465
Amador County,Female,70-74,1757,1715,1703
Amador County,Female,75-79,1382,1482,1576
Amador County,Female,80-84,869,901,931
Amador County,Female,85-89,548,577,592
Amador County,Female,90-94,268,263,286
