County,fips,7/1/2023,7/1/2024,7/1/2025
Alameda County,06001,1638046,1637680,1639755
Alpine County,06003,1167,1164,1161
Amador County,06005,40088,40175,40334
Butte County,06007,207615,208213,208768
Calaveras County,06009,44744,44644,44519
Colusa County,06011,21970,21994,22050
Contra Costa County,06013,1144040,1140932,1140477
Del Norte County,06015,26136,25741,25468
El Dorado County,06017,188131,187042,186186
Fresno County,06019,1015793,1019575,1023586
Glenn County,06021,28760,28840,28923
Humboldt County,06023,134304,134076,133830
Imperial County,06025,179790,180407,181271
Inyo County,06027,18901,18922,18939
Kern County,06029,910112,914564,919153
Kings County,06031,152340,153238,154068
Lake County,06033,67402,67474,67570
Lassen County,06035,28563,27896,27337
Los Angeles County,06037,9750065,9709658,9676333
Madera County,06039,158276,159102,159823
Marin County,06041,251808,249435,247468
Mariposa County,06043,16988,16994,17017
Mendocino County,06045,89092,88782,88580
Merced County,06047,289712,293701,297325
Modoc County,06049,8670,8663,8665
Mono County,06051,13183,13182,13171
Monterey County,06053,433139,432301,431940
Napa County,06055,134580,133752,133160
Nevada County,06057,99796,98966,98304
Orange County,06059,3140475,3146456,3153646
Placer County,06061,413044,416242,419854
Plumas County,06063,18909,18593,18326
Riverside County,06065,2447642,2458774,2471003
Sacramento County,06067,1567562,1569050,1571917
San Benito County,06069,66451,67120,67790
San Bernardino County,06071,2189276,2195732,2206224
San Diego County,06073,3293163,3306841,3320866
San Francisco County,06075,830272,828387,828899
San Joaquin County,06077,788279,792812,798017
San Luis Obispo County,06079,280972,282099,283145
San Mateo County,06081,733081,727597,723751
Santa Barbara County,06083,446369,449220,451827
Santa Clara County,06085,1877528,1873861,1872997
Santa Cruz County,06087,266183,267317,268156
Shasta County,06089,179455,178925,178497
Sierra County,06091,3192,3190,3187
Siskiyou County,06093,43529,43556,43576
Solano County,06095,443548,442679,442642
Sonoma County,06097,479217,478502,477852
Stanislaus County,06099,548701,549034,548695
Sutter County,06101,99514,100100,100756
Tehama County,06103,64671,64647,64666
Trinity County,06105,15965,15958,15962
Tulare County,06107,476480,478139,479905
Tuolumne County,06109,52932,52310,51734
Ventura County,06111,824426,819579,815587
Yolo County,06113,223467,224432,225403
Yuba County,06115,82973,83456,83993
