county,fips,state,rate_ad_15_1,rate_ad_15_2,rate_ad_15_3,rate_ad_15_4,rate_f_15_1,rate_f_15_2,rate_f_15_3,rate_f_15_4,rate_ad_16_1,rate_ad_16_2,rate_ad_16_3,rate_ad_16_4,rate_f_16_1,rate_f_16_2,rate_f_16_3,rate_f_16_4,rate_ad_17_1,rate_ad_17_2,rate_ad_17_3,rate_ad_17_4,rate_f_17_1,rate_f_17_2,rate_f_17_3,rate_f_17_4,rate_ad_18_1,rate_ad_18_2,rate_ad_18_3,rate_ad_18_4,rate_f_18_1,rate_f_18_2,rate_f_18_3,rate_f_18_4, rate_ad_19_1,rate_ad_19_2,rate_ad_19_3,rate_ad_19_4,rate_f_19_1,rate_f_19_2,rate_f_19_3,rate_f_19_4,rate_ad_20_1,rate_ad_20_2,rate_ad_20_3,rate_ad_20_4,rate_f_20_1,rate_f_20_2,rate_f_20_3,rate_f_20_4,rate_ad_21_1,rate_ad_21_2,rate_ad_21_3,rate_ad_21_4,rate_f_21_1,rate_f_21_2,rate_f_21_3,rate_f_21_4,rate_ad_22_1,rate_ad_22_2,rate_ad_22_3,rate_ad_22_4,rate_f_22_1,rate_f_22_2,rate_f_22_3,rate_f_22_4
Alameda,06001,CA,13.43,9.03,15.14,10.26,0,0.24,0,0.73,9.95,12.87,6.8,10.2,0.73,0.97,0.24,0.24,7.94,9.38,7.22,6.01,0.24,0.72,0.24,0.24,11.28,9.36,13.68,11.52,1.2,0.24,1.44,0.48,11.65,14.74,14.97,17.83,1.9,1.43,3.33,6.65,15.46,19.98,20.93,18.79,4.76,6.9,8.33,7.85,18.83,20.26,21.93,16.44,8.82,8.82,10.49,9.77,18.7,19.18,20.36,19.18,10.89,10.42,12.78,13.26
Alpine,06003,CA,360.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389.11,0,0,0,0,0,0,0,357.78,0,0,0,0,0,353.05,0,0,0,353.05,0,0,0,0,0,0,0,0,0,0
Amador,06005,CA,21.62,10.81,32.43,10.81,0,0,0,0,10.7,10.7,21.4,21.4,0,0,0,10.7,10.36,10.36,20.71,10.36,0,0,0,0,10.16,20.31,20.31,20.31,0,10.16,0,0,10.1,40.39,50.49,30.3,0,10.1,0,10.1,9.97,0,39.86,19.93,0,0,0,19.93,10.53,63.18,10.53,31.59,0,31.59,0,0,10.48,20.96,20.96,10.48,10.48,0,10.48,10.48
Butte,06007,CA,26.62,26.62,31.94,31.94,0,1.77,0,0,40.55,26.45,29.97,31.74,0,1.76,0,0,19.19,17.44,17.44,26.17,0,0,0,1.74,25.95,25.95,31.13,19.03,0,0,0,0,22.33,22.33,20.61,27.48,1.72,0,1.72,0,14.49,28.99,47.11,34.42,0,3.62,5.44,1.81,49.36,56.41,42.31,63.46,14.1,15.87,12.34,31.73,47.42,45.67,38.64,57.96,21.08,22.83,19.32,28.1
Calaveras,06009,CA,35.69,8.92,35.69,26.77,0,0,0,8.92,44.28,0,8.86,26.57,17.71,0,0,0,26.28,35.03,0,0,0,0,0,0,26.31,17.54,17.54,0,0,0,0,0,8.78,26.35,61.48,8.78,0,0,0,0,26.14,0,17.43,34.85,0,0,0,8.71,9.06,18.12,63.42,18.12,9.06,18.12,18.12,9.06,18.12,36.24,0,9.06,9.06,9.06,0,9.06
Colusa,06011,CA,0,0,18.62,18.62,0,0,0,0,18.53,55.59,55.59,0,0,0,0,0,0,0,18.34,0,0,0,0,0,0,0,0,0,0,0,0,0,36.73,36.73,0,0,18.37,0,0,0,18.42,36.84,18.42,18.42,0,0,0,18.42,0,0,0,35.11,0,0,0,17.55,0,17.49,34.98,34.98,0,17.49,17.49,34.98
Contra Costa,06013,CA,5.33,10.65,9.94,11.36,0,0.36,0.36,0.71,11.98,11.63,9.51,9.87,0.35,0.7,0.35,0,9.76,8.37,10.11,12.2,0.7,1.39,2.09,0.7,12.87,16.69,13.21,12.17,1.04,2.78,2.78,2.09,14.1,18.57,12.04,12.04,5.5,3.44,4.81,3.1,18.29,23.46,21.74,16.56,8.28,10.7,10.35,7.94,25.53,17.94,26.22,21.04,15.18,11.38,16.21,12.42,20.2,21.23,23.28,22.25,11.98,13.35,13.7,14.04
Del Norte,06015,CA,29.35,0,29.35,14.68,0,0,0,0,14.52,0,14.52,29.05,0,0,0,14.52,14.56,29.12,43.68,0,0,0,0,0,0,0,14.37,0,0,0,0,0,28.68,0,28.68,43.02,0,0,0,0,0,14.3,42.9,57.2,0,0,28.6,14.3,74.52,14.9,14.9,44.71,29.81,14.9,14.9,29.81,89.58,104.51,89.58,119.44,29.86,74.65,29.86,74.65
El Dorado,06017,CA,13.01,21.69,21.69,26.02,0,0,0,0,28.01,17.24,32.32,12.93,2.15,0,0,0,12.7,23.28,12.7,19.05,2.12,0,0,0,20.98,23.08,8.39,16.78,0,2.1,0,2.1,25.07,18.8,10.45,12.54,0,0,2.09,2.09,16.36,18.4,14.31,22.49,4.09,4.09,4.09,8.18,14.81,31.73,29.62,19.04,4.23,10.58,23.27,8.46,18.95,25.26,21.05,31.58,10.53,16.84,16.84,16.84
Fresno,06019,CA,15.18,13.95,15.18,12.31,0.41,0,0,0,15.51,21.63,15.1,9.39,0.41,0.82,0.41,0,12.13,16.98,11.32,10.11,0.81,0.4,0.4,0,13.68,11.26,10.86,9.65,0.4,0.4,0,0,15.92,12.33,13.53,11.54,1.99,0.4,2.39,1.19,13.88,16.26,18.24,17.45,1.98,5.55,4.76,4.76,22.71,19.58,19.18,15.27,6.66,5.87,5.48,7.83,19.43,17.49,22.54,24.88,9.72,7.77,9.33,12.05
