county,fips,state,quarter,fentanyl_rate,death_rate
Alameda,06001,CA,2023 Q1,16.85,22.71
Alameda,06001,CA,2023 Q2,17.09,25.4
Alpine,06003,CA,2023 Q1,0,0
Alpine,06003,CA,2023 Q2,0,0
Amador,06005,CA,2023 Q1,19.96,29.93
Amador,06005,CA,2023 Q2,0,19.96
Butte,06007,CA,2023 Q1,28.9,57.8
Butte,06007,CA,2023 Q2,36.61,80.92
Calaveras,06009,CA,2023 Q1,8.94,17.88
Calaveras,06009,CA,2023 Q2,0,8.94
Colusa,06011,CA,2023 Q1,0,36.41
Colusa,06011,CA,2023 Q2,18.21,36.41
Contra Costa,06013,CA,2023 Q1,11.89,22.03
Contra Costa,06013,CA,2023 Q2,11.19,19.93
Del Norte,06015,CA,2023 Q1,0,45.91
Del Norte,06015,CA,2023 Q2,76.52,122.44
El Dorado,06017,CA,2023 Q1,14.88,19.14
El Dorado,06017,CA,2023 Q2,8.5,19.14
Fresno,06019,CA,2023 Q1,11.81,22.84
Fresno,06019,CA,2023 Q2,12.21,22.05
Glenn,06021,CA,2023 Q1,41.72,83.45
Glenn,06021,CA,2023 Q2,55.63,97.36
Humboldt,06023,CA,2023 Q1,50.63,62.54
Humboldt,06023,CA,2023 Q2,56.59,80.41
Imperial,06025,CA,2023 Q1,8.9,13.35
Imperial,06025,CA,2023 Q2,6.67,11.12
Inyo,06027,CA,2023 Q1,42.33,63.49
Inyo,06027,CA,2023 Q2,0,0
Kern,06029,CA,2023 Q1,30.33,54.06
Kern,06029,CA,2023 Q2,34.28,57.14
Kings,06031,CA,2023 Q1,21.01,26.26
Kings,06031,CA,2023 Q2,7.88,21.01
Lake,06033,CA,2023 Q1,23.74,71.21
Lake,06033,CA,2023 Q2,41.54,59.35
Lassen,06035,CA,2023 Q1,28.01,84.02
Lassen,06035,CA,2023 Q2,42.01,98.03
Los Angeles,06037,CA,2023 Q1,15.55,23.14
Los Angeles,06037,CA,2023 Q2,13.05,19.49
Madera,06039,CA,2023 Q1,5.05,27.8
Madera,06039,CA,2023 Q2,7.58,22.75
Marin,06041,CA,2023 Q1,4.77,17.47
Marin,06041,CA,2023 Q2,7.94,15.89
Mariposa,06043,CA,2023 Q1,47.09,117.73
Mariposa,06043,CA,2023 Q2,0,23.55
Mendocino,06045,CA,2023 Q1,26.94,58.37
Mendocino,06045,CA,2023 Q2,31.43,49.39
Merced,06047,CA,2023 Q1,12.43,23.47
Merced,06047,CA,2023 Q2,12.43,23.47
Modoc,06049,CA,2023 Q1,0,0
Modoc,06049,CA,2023 Q2,0,0
Mono,06051,CA,2023 Q1,0,0
Mono,06051,CA,2023 Q2,0,30.34
Monterey,06053,CA,2023 Q1,8.31,28.63
Monterey,06053,CA,2023 Q2,15.7,33.25
Napa,06055,CA,2023 Q1,14.86,17.83
Napa,06055,CA,2023 Q2,11.89,17.83
Nevada,06057,CA,2023 Q1,24.05,28.06
Nevada,06057,CA,2023 Q2,40.08,44.09
Orange,06059,CA,2023 Q1,16.56,22.67
Orange,06059,CA,2023 Q2,14.27,19.23
Placer,06061,CA,2023 Q1,6.78,17.43
Placer,06061,CA,2023 Q2,8.72,11.62
Plumas,06063,CA,2023 Q1,21.15,21.15
Plumas,06063,CA,2023 Q2,0,0
Riverside,06065,CA,2023 Q1,21.24,34.16
Riverside,06065,CA,2023 Q2,22.72,35.14
Sacramento,06067,CA,2023 Q1,11.23,38.53
Sacramento,06067,CA,2023 Q2,18.63,35.47
San Benito,06069,CA,2023 Q1,24.08,24.08
San Benito,06069,CA,2023 Q2,6.02,6.02
San Bernardino,06071,CA,2023 Q1,14.62,22.66
San Bernardino,06071,CA,2023 Q2,16.81,24.3
San Diego,06073,CA,2023 Q1,20.77,30.49
San Diego,06073,CA,2023 Q2,15.3,22.59
San Francisco,06075,CA,2023 Q1,50.59,72.27
San Francisco,06075,CA,2023 Q2,65.52,80.46
