county,fips,state,rate_ad_15,counts_ad_15,rate_f_15,counts_f_15,rate_ad_16,counts_ad_16,rate_f_16,counts_f_16,rate_ad_17,counts_ad_17,rate_f_17,counts_f_17,rate_ad_18,counts_ad_18,rate_f_18,counts_f_18,rate_ad_19,counts_ad_19,rate_f_19,counts_f_19,rate_ad_20,counts_ad_20,rate_f_20,counts_f_20,rate_ad_21,counts_ad_21,rate_f_21,counts_f_21,rate_ad_22,counts_ad_22,rate_f_22,counts_f_22
Alameda,06001,CA,11.965,196,0.242,4,9.955,164,0.545,9,7.638,127,0.36,6,11.46,191,0.84,14,14.797,249,3.328,56,18.79,316,6.96,117,19.365,325,9.475,159,19.355,327,11.838,200
Alpine,06003,CA,90.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.278,1,0,0,89.445,1,0,0,88.263,1,88.263,1,0,0,0,0
Amador,06005,CA,18.918,7,0,0,16.05,6,2.675,1,12.947,5,0,0,17.773,7,2.54,1,32.82,13,5.05,2,17.44,7,4.982,2,28.957,11,7.898,3,15.72,6,7.86,3
Butte,06007,CA,29.28,66,0.442,1,32.177,73,0.44,1,20.06,46,0.435,1,25.515,59,0,0,23.188,54,0.86,2,31.253,69,2.718,6,52.885,120,18.51,42,47.422,108,22.832,52
Calaveras,06009,CA,26.767,12,2.23,1,19.928,9,4.428,2,15.328,7,0,0,15.348,7,0,0,26.348,12,0,0,19.605,9,2.178,1,27.18,12,13.59,6,15.855,7,6.795,3
Colusa,06011,CA,9.31,2,0,0,32.428,7,0,0,4.585,1,0,0,0,0,0,0,18.365,4,4.593,1,23.025,5,4.605,1,8.777,2,4.388,1,21.862,5,17.49,4
Contra Costa,06013,CA,9.32,105,0.358,4,10.748,122,0.35,4,10.11,116,1.22,14,13.735,158,2.172,25,14.188,165,4.213,49,20.012,232,9.317,108,22.683,263,13.797,160,21.74,254,13.268,155
Del Norte,06015,CA,18.345,5,0,0,14.523,4,3.63,1,21.84,6,0,0,3.592,1,0,0,25.095,7,0,0,28.6,8,10.725,3,37.258,10,22.355,6,100.778,27,52.255,14
El Dorado,06017,CA,20.602,38,0,0,22.625,42,0.538,1,16.933,32,0.53,1,17.308,33,1.05,2,16.715,32,1.045,2,17.89,35,5.112,10,23.8,45,11.635,22,24.21,46,15.262,29
Fresno,06019,CA,14.155,138,0.102,1,15.407,151,0.41,4,12.635,125,0.402,4,11.363,113,0.2,2,13.33,134,1.492,15,16.457,166,4.263,43,19.185,196,6.46,66,21.085,217,9.718,100
Glenn,06021,CA,14.277,4,0,0,14.24,4,0,0,7.12,2,0,0,14.26,4,0,0,17.738,5,0,0,38.463,11,3.498,1,41.117,12,6.855,2,34.233,10,13.692,4
Humboldt,06023,CA,28.735,39,2.213,3,39.517,54,0.732,1,32.172,44,0.73,1,24.2,33,0,0,26.277,36,5.84,8,31.145,42,7.417,10,41.722,56,26.82,36,67.843,91,50.695,68
Imperial,06025,CA,21.645,39,0,0,21.008,38,0,0,12.033,22,0,0,23.1,42,1.65,3,16.297,30,3.26,6,32.808,60,9.84,18,9.393,18,6.785,13,15.547,30,11.4,22
Inyo,06027,CA,16.43,3,0,0,33.072,6,5.513,1,16.643,3,0,0,38.917,7,5.56,1,27.775,5,5.555,1,44.248,8,16.59,3,55.03,10,22.01,4,38.585,7,16.538,3
Kern,06029,CA,24.143,213,0.905,8,23.058,204,0.225,2,25.752,230,1.345,12,24.98,224,3.125,28,28.87,262,5.95,54,39.252,357,15.283,139,53.225,490,24.115,222,52.48,488,27.315,254
Kings,06031,CA,9.275,14,0,0,8.01,12,0,0,9.992,15,0,0,12.553,19,0,0,16.39,25,0,0,13.535,21,3.223,5,18.053,28,6.45,10,19.852,31,8.965,14
Lake,06033,CA,46.45,30,1.548,1,29.633,19,1.56,1,43.582,28,6.228,4,68.34,44,4.657,3,72.85,47,6.2,4,69.76,45,7.75,5,102.845,66,40.515,26,90.43,58,35.86,23
Lassen,06035,CA,22.33,7,3.19,1,38.873,12,0,0,16.045,5,0,0,12.988,4,0,0,38.892,12,6.482,2,25.953,8,6.487,2,26.7,8,10.012,3,60.317,18,30.157,9
Los Angeles,06037,CA,7.117,724,0.12,12,8.295,841,0.572,58,8.935,908,1.15,117,9.508,961,1.99,201,12.363,1255,4,406,19.555,1960,9.675,970,22.277,2272,13.688,1396,24.068,2457,15.035,1535
Madera,06039,CA,16.128,25,0,0,12.28,19,0,0,12.113,19,0,0,7.61,12,0,0,18.817,30,1.882,3,13.873,22,1.89,3,21.72,35,8.69,14,18.438,30,5.532,9
Marin,06041,CA,6.508,17,0,0,14.962,39,0.382,1,14.562,38,0.765,2,11.553,30,0.77,2,16.508,43,4.223,11,20.152,52,8.525,22,25.175,65,14.332,37,23.66,61,12.027,31
Mariposa,06043,CA,5.705,1,0,0,34.468,6,0,0,17.075,3,0,0,5.725,1,0,0,28.775,5,0,0,29.053,5,0,0,39.837,7,11.38,2,22.782,4,11.39,2
Mendocino,06045,CA,18.255,16,2.28,2,33.093,29,1.14,1,29.543,26,2.27,2,35.383,31,1.143,1,47.72,42,10.223,9,47.288,41,16.148,14,81.54,72,45.3,40,71.305,63,39.615,35
Merced,06047,CA,15.273,41,0.745,2,14.515,39,1.117,3,12.47,34,0,0,14.193,39,2.913,8,16.175,45,1.44,4,18.465,52,6.39,18,19.242,55,6.3,18,24.255,70,9.703,28
Modoc,06049,CA,11.155,1,0,0,22.74,2,0,0,45.15,4,0,0,0,0,0,0,34.793,3,0,0,0,0,0,0,31.973,3,0,0,32.002,3,10.668,1
