county,year,population,fips,state
ALAMEDA,2021,1663371.0,06001,CA
ALPINE,2021,1195.0,06003,CA
AMADOR,2021,40067.0,06005,CA
BUTTE,2021,207895.0,06007,CA
CALAVERAS,2021,45250.0,06009,CA
COLUSA,2021,21755.0,06011,CA
CONTRA COSTA,2021,1161238.0,06013,CA
DEL NORTE,2021,27407.0,06015,CA
EL DORADO,2021,190561.0,06017,CA
FRESNO,2021,1007359.0,06019,CA
GLENN,2021,28803.0,06021,CA
HUMBOLDT,2021,135183.0,06023,CA
IMPERIAL,2021,179588.0,06025,CA
INYO,2021,18982.0,06027,CA
KERN,2021,904179.0,06029,CA
KINGS,2021,150750.0,06031,CA
LAKE,2021,67526.0,06033,CA
LASSEN,2021,30745.0,06035,CA
LOS ANGELES,2021,9942011.0,06037,CA
MADERA,2021,155775.0,06039,CA
MARIN,2021,259087.0,06041,CA
MARIPOSA,2021,17066.0,06043,CA
MENDOCINO,2021,90535.0,06045,CA
MERCED,2021,280730.0,06047,CA
MODOC,2021,8606.0,06049,CA
MONO,2021,13179.0,06051,CA
MONTEREY,2021,435397.0,06053,CA
NAPA,2021,137484.0,06055,CA
NEVADA,2021,101717.0,06057,CA
ORANGE,2021,3167783.0,06059,CA
PLACER,2021,406688.0,06061,CA
PLUMAS,2021,19622.0,06063,CA
RIVERSIDE,2021,2418727.0,06065,CA
SACRAMENTO,2021,1579186.0,06067,CA
SAN BENITO,2021,64581.0,06069,CA
SAN BERNARDINO,2021,2179007.0,06071,CA
SAN DIEGO,2021,3283113.0,06073,CA
SAN FRANCISCO,2021,853414.0,06075,CA
SAN JOAQUIN,2021,780515.0,06077,CA
SAN LUIS OBISPO,2021,278723.0,06079,CA
SAN MATEO,2021,754439.0,06081,CA
SANTA BARBARA,2021,441625.0,06083,CA
SANTA CLARA,2021,1910551.0,06085,CA
SANTA CRUZ,2021,265446.0,06087,CA
SHASTA,2021,181887.0,06089,CA
SIERRA,2021,3225.0,06091,CA
SISKIYOU,2021,43931.0,06093,CA
SOLANO,2021,449116.0,06095,CA
SONOMA,2021,484055.0,06097,CA
STANISLAUS,2021,551353.0,06099,CA
SUTTER,2021,98874.0,06101,CA
TEHAMA,2021,65262.0,06103,CA
TRINITY,2021,16050.0,06105,CA
TULARE,2021,473645.0,06107,CA
TUOLUMNE,2021,54791.0,06109,CA
VENTURA,2021,839628.0,06111,CA
YOLO,2021,216005.0,06113,CA
YUBA,2021,81827.0,06115,CA
ALAMEDA,2022,1644248.0,06001,CA
ALPINE,2022,1191.0,06003,CA
AMADOR,2022,40108.0,06005,CA
BUTTE,2022,206582.0,06007,CA
CALAVERAS,2022,45012.0,06009,CA
COLUSA,2022,21819.0,06011,CA
CONTRA COSTA,2022,1151798.0,06013,CA
DEL NORTE,2022,26954.0,06015,CA
EL DORADO,2022,189816.0,06017,CA
FRESNO,2022,1009790.0,06019,CA
GLENN,2022,28778.0,06021,CA
HUMBOLDT,2022,134528.0,06023,CA
IMPERIAL,2022,178845.0,06025,CA
INYO,2022,18921.0,06027,CA
KERN,2022,908107.0,06029,CA
KINGS,2022,151494.0,06031,CA
LAKE,2022,67421.0,06033,CA
LASSEN,2022,29533.0,06035,CA
LOS ANGELES,2022,9834503.0,06037,CA
MADERA,2022,157205.0,06039,CA
MARIN,2022,255470.0,06041,CA
MARIPOSA,2022,16984.0,06043,CA
MENDOCINO,2022,89629.0,06045,CA
MERCED,2022,284130.0,06047,CA
MODOC,2022,8573.0,06049,CA
MONO,2022,13160.0,06051,CA
MONTEREY,2022,433964.0,06053,CA
NAPA,2022,135941.0,06055,CA
NEVADA,2022,100973.0,06057,CA
ORANGE,2022,3151946.0,06059,CA
PLACER,2022,409441.0,06061,CA
PLUMAS,2022,19232.0,06063,CA
RIVERSIDE,2022,2430976.0,06065,CA
SACRAMENTO,2022,1573366.0,06067,CA
SAN BENITO,2022,65543.0,06069,CA
SAN BERNARDINO,2022,2180777.0,06071,CA
SAN DIEGO,2022,3275435.0,06073,CA
SAN FRANCISCO,2022,837036.0,06075,CA
SAN JOAQUIN,2022,782811.0,06077,CA
SAN LUIS OBISPO,2022,279751.0,06079,CA
SAN MATEO,2022,740821.0,06081,CA
SANTA BARBARA,2022,443156.0,06083,CA
SANTA CLARA,2022,1890967.0,06085,CA
SANTA CRUZ,2022,264912.0,06087,CA
SHASTA,2022,180651.0,06089,CA
SIERRA,2022,3212.0,06091,CA
SISKIYOU,2022,43640.0,06093,CA
SOLANO,2022,445881.0,06095,CA
SONOMA,2022,480623.0,06097,CA
STANISLAUS,2022,548719.0,06099,CA
SUTTER,2022,99090.0,06101,CA
TEHAMA,2022,64907.0,06103,CA
TRINITY,2022,15967.0,06105,CA
TULARE,2022,474507.0,06107,CA
TUOLUMNE,2022,54465.0,06109,CA
VENTURA,2022,831533.0,06111,CA
YOLO,2022,221639.0,06113,CA
YUBA,2022,82193.0,06115,CA
ALAMEDA,2023,1636194.0,06001,CA
ALPINE,2023,1184.0,06003,CA
AMADOR,2023,39837.0,06005,CA
BUTTE,2023,205592.0,06007,CA
CALAVERAS,2023,44890.0,06009,CA
COLUSA,2023,21771.0,06011,CA
CONTRA COSTA,2023,1147653.0,06013,CA
DEL NORTE,2023,26599.0,06015,CA
EL DORADO,2023,189006.0,06017,CA
FRESNO,2023,1011499.0,06019,CA
GLENN,2023,28636.0,06021,CA
HUMBOLDT,2023,134047.0,06023,CA
IMPERIAL,2023,179476.0,06025,CA
INYO,2023,18896.0,06027,CA
KERN,2023,907476.0,06029,CA
KINGS,2023,151018.0,06031,CA
LAKE,2023,66800.0,06033,CA
LASSEN,2023,28275.0,06035,CA
LOS ANGELES,2023,9761210.0,06037,CA
MADERA,2023,158148.0,06039,CA
MARIN,2023,252959.0,06041,CA
MARIPOSA,2023,16935.0,06043,CA
MENDOCINO,2023,89164.0,06045,CA
MERCED,2023,285337.0,06047,CA
MODOC,2023,8527.0,06049,CA
MONO,2023,13156.0,06051,CA
MONTEREY,2023,430368.0,06053,CA
NAPA,2023,134637.0,06055,CA
NEVADA,2023,100720.0,06057,CA
ORANGE,2023,3137164.0,06059,CA
PLACER,2023,410305.0,06061,CA
PLUMAS,2023,18996.0,06063,CA
RIVERSIDE,2023,2439234.0,06065,CA
SACRAMENTO,2023,1572453.0,06067,CA
SAN BENITO,2023,65666.0,06069,CA
SAN BERNARDINO,2023,2182056.0,06071,CA
SAN DIEGO,2023,3269755.0,06073,CA
SAN FRANCISCO,2023,831703.0,06075,CA
SAN JOAQUIN,2023,786145.0,06077,CA
SAN LUIS OBISPO,2023,278348.0,06079,CA
SAN MATEO,2023,737644.0,06081,CA
SANTA BARBARA,2023,440557.0,06083,CA
SANTA CLARA,2023,1886079.0,06085,CA
SANTA CRUZ,2023,262051.0,06087,CA
SHASTA,2023,179436.0,06089,CA
SIERRA,2023,3193.0,06091,CA
SISKIYOU,2023,43548.0,06093,CA
SOLANO,2023,443749.0,06095,CA
SONOMA,2023,478174.0,06097,CA
STANISLAUS,2023,545939.0,06099,CA
SUTTER,2023,98952.0,06101,CA
TEHAMA,2023,64271.0,06103,CA
TRINITY,2023,15939.0,06105,CA
TULARE,2023,475064.0,06107,CA
TUOLUMNE,2023,54590.0,06109,CA
VENTURA,2023,825653.0,06111,CA
YOLO,2023,220880.0,06113,CA
YUBA,2023,82677.0,06115,CA
