SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,DATE,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,06,001,California,Alameda County,1,4/1/2020,1682331,836597,845734,91821,46933,44888,171082,87871,83211,75067,38329,36738,140045,69868,70177,1381874,682550,699324,1344361,663464,680897,730863,369976,360887,534618,271473,263145,428012,215361,212651,241686,106762,134924,91821,46933,44888,93600,48001,45599,96349,49564,46785,99717,50217,49500,96528,48286,48242,127063,64185,62878,146630,74470,72160,139485,70947,68538,121440,61871,59569,114412,58192,56220,108601,55348,53253,107688,53796,53892,97311,48025,49286,80055,37887,42168,63014,28934,34080,40301,17862,22439,27064,11381,15683,31252,10698,20554,38.2,37.5,38.8
050,06,001,California,Alameda County,2,7/1/2020,1680380,835702,844678,91120,46528,44592,170175,87433,82742,75062,38357,36705,139545,69598,69947,1381484,682450,699034,1344023,663384,680639,729469,369281,360188,533786,271061,262725,427514,215249,212265,243178,107476,135702,91120,46528,44592,93219,47859,45360,95880,49309,46571,99115,49928,49187,96568,48292,48276,125467,63359,62108,146716,74454,72262,139697,71133,68564,121906,62115,59791,114070,58027,56043,108722,55464,53258,107259,53634,53625,97463,48124,49339,80292,38058,42234,63590,29151,34439,40732,18050,22682,27200,11444,15756,31364,10773,20591,38.3,37.6,38.9
050,06,001,California,Alameda County,3,7/1/2021,1643837,817927,825910,86533,44067,42466,164923,84607,80316,74391,38178,36213,128061,64470,63591,1354867,669918,684949,1317990,651075,666915,702021,356389,345632,518511,263507,255004,421770,212635,209135,249648,110463,139185,86533,44067,42466,90903,46724,44179,92962,47649,45313,92020,46854,45166,91490,46028,45462,115464,58341,57123,143033,72336,70697,137529,70378,67151,122485,62452,60033,111442,56616,54826,108883,55642,53241,104584,52506,52078,96861,47871,48990,81258,38728,42530,66277,30201,36076,42523,18820,23703,27894,11721,16173,31696,10993,20703,39,38.3,39.7
050,06,001,California,Alameda County,4,7/1/2022,1628997,809336,819661,83912,42733,41179,159453,81723,77730,74379,38306,36073,131633,65976,65657,1348039,665537,682502,1311253,646574,664679,694811,352010,342801,507682,257449,250233,415554,209442,206112,256384,113707,142677,83912,42733,41179,88581,45447,43134,89755,45997,43758,94440,47950,46490,92689,46611,46078,110310,55351,54959,139589,70470,69119,134969,69176,65793,122814,62452,60362,109640,55491,54149,108201,55130,53071,101295,51072,50223,96418,47749,48669,81735,39100,42635,66484,30248,36236,46629,20730,25899,29033,12251,16782,32503,11378,21125,39.3,38.6,39.9
050,06,003,California,Alpine County,1,4/1/2020,1201,649,552,51,19,32,105,53,52,66,37,29,116,67,49,1019,564,455,979,540,439,388,225,163,219,131,88,343,178,165,301,164,137,51,19,32,48,22,26,70,41,29,87,51,36,82,43,39,70,45,25,56,32,24,47,28,19,46,26,20,72,33,39,65,31,34,86,55,31,120,59,61,121,74,47,93,48,45,44,20,24,24,13,11,19,9,10,48.4,47.9,48.8
050,06,003,California,Alpine County,2,7/1/2020,1204,654,550,52,21,31,103,50,53,68,38,30,114,68,46,1021,568,453,981,545,436,392,231,161,224,135,89,340,176,164,303,166,137,52,21,31,47,21,26,70,39,31,87,53,34,81,43,38,72,45,27,57,35,22,50,29,21,45,26,19,71,32,39,66,33,33,86,53,33,117,58,59,121,75,46,94,48,46,46,21,25,23,13,10,19,9,10,48.2,47.5,48.8
050,06,003,California,Alpine County,3,7/1/2021,1235,677,558,53,24,29,92,43,49,71,39,32,106,67,39,1060,591,469,1019,571,448,423,247,176,263,151,112,343,183,160,307,170,137,53,24,29,42,19,23,67,34,33,93,57,36,67,39,28,85,45,40,63,44,19,64,33,31,51,29,22,69,33,36,76,39,37,83,48,35,115,63,52,118,72,46,101,52,49,49,25,24,18,10,8,21,11,10,47.6,47.6,47.6
050,06,003,California,Alpine County,4,7/1/2022,1190,659,531,45,23,22,91,41,50,56,27,29,125,81,44,1026,581,445,998,568,430,419,252,167,251,150,101,318,167,151,304,170,134,45,23,22,54,24,30,50,23,27,88,52,36,80,50,30,67,44,23,73,46,27,64,34,30,47,26,21,63,27,36,72,38,34,73,38,35,110,64,46,109,65,44,93,49,44,63,34,29,22,10,12,17,12,5,47.1,45.9,47.8
050,06,005,California,Amador County,1,4/1/2020,40474,22075,18399,1602,851,751,3132,1622,1510,1448,747,701,2291,1312,979,35019,19235,15784,34292,18855,15437,12716,7658,5058,9325,5781,3544,11604,6469,5135,11072,5293,5779,1602,851,751,1725,922,803,1755,882,873,1755,941,814,1636,936,700,2129,1256,873,2341,1417,924,2400,1470,930,2455,1638,817,2439,1539,900,2640,1564,1076,3153,1650,1503,3372,1716,1656,3537,1723,1814,3237,1551,1686,2021,1001,1020,1219,589,630,1058,429,629,50,47.5,53.8
050,06,005,California,Amador County,2,7/1/2020,40532,22083,18449,1577,828,749,3137,1629,1508,1451,745,706,2292,1324,968,35099,19260,15839,34367,18881,15486,12754,7678,5076,9364,5792,3572,11566,6446,5120,11145,5319,5826,1577,828,749,1734,924,810,1756,888,868,1746,938,808,1644,948,696,2133,1256,877,2359,1424,935,2404,1470,934,2468,1642,826,2424,1533,891,2635,1556,1079,3122,1631,1491,3385,1726,1659,3554,1733,1821,3252,1549,1703,2050,1017,1033,1226,592,634,1063,428,635,50,47.5,53.9
